,File Name,Mean,Median,Var,Std,Min,Max
0,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05.dat,70268.207,68008.0,981059189.546151,31321.86440086463,2883,204536
1,TxRx30_ARQ1-1_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,40853.37,40309.0,207757294.55709997,14413.788348560554,4696,90977
2,TxRx30_ARQ10-10_PASSIVE-PASSIVE_RTO2_DC05.dat,13003.02,12061.0,69467814.3056,8334.735407054024,492,52615
3,TxRx30_ARQ10-10_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,12575.272,11341.0,58273372.63401601,7633.699799835988,445,43824
4,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05.dat,6547.862,5293.5,24882508.562956,4988.237019524634,448,29606
5,TxRx30_ARQ20-20_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,6502.303,5569.0,22389033.311191,4731.705116677391,378,31995
6,TxRx30_ARQ30-30_PASSIVE-PASSIVE_RTO2_DC05.dat,4125.065,2750.5,12452591.416775001,3528.822950613278,411,22365
7,TxRx30_ARQ30-30_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,4118.747,2673.5,12969231.540991003,3601.281930228596,480,26503
8,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05.dat,2829.306,1839.5,6538123.938363999,2556.9755451243564,387,15917
9,TxRx30_ARQ40-40_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,2973.222,1912.0,7500778.926716001,2738.7549957445995,363,19813
10,TxRx30_ARQ50-50_PASSIVE-PASSIVE_RTO2_DC05.dat,2395.95,1581.5,4732150.3195,2175.3506199001577,327,13666
11,TxRx30_ARQ50-50_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,2218.301,1527.0,3749497.3943990003,1936.3618965469757,387,15071
12,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05.dat,387611.117,377049.0,27605174441.87131,166148.04976848603,4563,952196
13,TxRx50_ARQ1-1_PASSIVE-PASSIVE_adaptive1_RTO2_DC05.dat,240601.033,241975.0,6985763002.885912,83580.877016731,8639,516181
