,File Name,Mean,Median,Var,Std,Min,Max
0,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,82219.9536,79821.0,706465230.6906471,26579.413663409643,22091,174740
1,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,83297.63606010017,80936.0,776785109.5236413,27870.86488653772,18138,193275
2,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,85473.79461279462,83960.0,817716828.0857623,28595.74842674628,27945,189952
3,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,84764.88059701493,81857.0,866050372.6059752,29428.733792094677,21703,225665
4,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,338288.001,337435.0,4294915183.072999,65535.60240871368,161694,587735
5,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,348301.745,343000.5,5244823560.533975,72421.15409556779,156078,577119
6,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,348489.499,346617.5,5035674208.823999,70962.48451698967,155390,573949
7,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,341882.679,341682.0,4724146842.621959,68732.42933740927,132527,617434
8,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,677500.6,670457.5,8801887347.186,93818.3742514546,411085,1001851
9,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,679415.472,677766.0,9355803629.543217,96725.40322760725,307687,969791
10,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,686945.066,685940.0,9011917337.065645,94931.11890768824,431406,1033554
11,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,683065.993,683332.5,9433673999.610949,97127.1022918472,389077,1030184
12,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,6455.886,5344.0,24519902.435004003,4951.757509713496,427,30236
13,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,6572.336,5505.0,24085463.733104005,4907.694339820279,421,25967
14,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,6869.17,5646.0,26820267.899100002,5178.828815388669,388,27824
15,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,6763.91,5618.5,26019970.003900003,5100.977357712932,453,31037
16,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,31607.048,30988.5,114682714.74569601,10709.001575576316,6287,79560
17,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,31498.127,30433.0,123164406.386871,11097.946043609645,7305,79153
18,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,32091.121,31124.0,122076379.482359,11048.818012907943,6681,70528
19,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,32556.344,31890.0,125726943.13366401,11212.802644016527,6311,69945
20,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,60112.673,59871.5,220946928.46407098,14864.28365122487,21035,107416
21,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,62820.276,61999.0,241937120.79582396,15554.328040639492,22791,121092
22,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,64166.116,62770.0,272696204.086544,16513.515800293528,25281,124873
23,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,64525.572,63453.0,246772858.14281598,15709.00563825782,24353,114931
24,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,3069.447,1959.5,7782310.895191,2789.6793534725457,381,16986
25,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,2984.806,1964.5,7342838.774363999,2709.7672915518037,450,19579
26,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,3014.02,1956.5,7732977.421599999,2780.823155398415,417,19104
27,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,3066.621,2001.0,7337013.907358999,2708.6922873148583,380,15581
28,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,14067.89,13130.0,32624398.7639,5711.777198377052,4369,43318
29,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,14483.224,13295.0,35392933.351824,5949.196025668006,4375,41416
30,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,14906.265,14096.0,32151688.336775,5670.2458797458685,4995,36153
31,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,14693.302,13571.5,35773555.254796,5981.099836551468,4190,42018
32,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,27059.094,25878.0,63783650.463164,7986.466707071658,10291,65971
33,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,28921.547,28104.0,66995461.29179101,8185.075521447008,12534,64377
34,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,29760.751,29030.5,70458311.988999,8393.944959850463,10914,57553
35,TxRx30_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,29950.089,28683.5,79910279.721079,8939.254986914682,11451,67303
36,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,383988.322,368333.5,27298913476.174316,165223.82841519656,11741,1122476
37,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,383437.918,366538.0,28012185673.90127,167368.41301124077,10737,937830
